Response_ID,Choice_Row_Number,Member_Category,Tenure,Activity_Level,Opportunity_Areas,Projects_Involved,Satisfaction_Text,Rate_SaveASoul,Rate_BabaYara,Rate_MDS,Rate_Debate,Rate_EducateChild,Rate_QualityLeadershipValue,Rate_InternationalWomenDay,Rate_WorldDownSyndromeDay,Benefits_Gained,Project_and_Reason_Text,Programs_To_Discontinue,Reason_For_Discontinuation,New_Ideas,New_Projects_Suggested,Improve_Areas,Other_Comments
R001,1,Active member (18 - 40 years),1 - 3 years,Very active,Individual Development,Baba and Yara,Very,4.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,Networking opportunities,Baba and yara,,,International collaborations,International exchange programme,Yes,God Luck
R001,2,Active member (18 - 40 years),1 - 3 years,Very active,Business and Entrepreneurship,Secondary School Debate,,,,,,,,,,Community engagement,,,,Strategic partnerships with other organizations,Economic development,,
R001,3,Active member (18 - 40 years),1 - 3 years,Very active,International Opportunity,International Women's Day,,,,,,,,,,New skills,,,,,Healthcare and wellness,,
R001,4,Active member (18 - 40 years),1 - 3 years,Very active,Community Development,,,,,,,,,,,Personal growth,,,,,Business Clinic,,
R002,1,Active member (18 - 40 years),1 - 3 years,Very active,Business and Entrepreneurship,Membership Development Summit (MDS),"Satisfied but I believe more can be done, like follow ups especially for events like the IWD & MDS to measure up impact.",2.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,Networking opportunities,"MDS, IWD & Baba n Yara",,,International collaborations,International exchange programme,"Membership participation in indigenous L.O projects and programmes. Members do not attend LO projects in their numbers, if this is worked on JCI Aso will reach more members as well more intending members.

More of onboarding, I think this should be stricter to ascertain quality of members and commitment.","I also think there should be an avenue creation where younger members can meet the older members, I mean past presidents as well as the senators. Other than this, Welldone; I love the Aso family."
R002,2,Active member (18 - 40 years),1 - 3 years,Very active,International Opportunity,Baba and Yara,,,,,,,,,,Community engagement,,,,Strategic partnerships with other organizations,Healthcare and wellness,,
R002,3,Active member (18 - 40 years),1 - 3 years,Very active,,International Women's Day,,,,,,,,,,Fulfilment for serving a cause,,,,Research and apply for grants and funding opportunities,Cultural exchange,,
R002,4,Active member (18 - 40 years),1 - 3 years,Very active,,,,,,,,,,,,,,,,,Business Clinic,,
R003,1,Active member (18 - 40 years),1 - 3 years,Very active,International Opportunity,Save a Soul,Great,5.0,5.0,5.0,5.0,2.0,5.0,4.0,1.0,Networking opportunities,Coordinating and leading,World Down Syndrome Day,,International collaborations,Healthcare and wellness,,
R003,2,Active member (18 - 40 years),1 - 3 years,Very active,,Baba and Yara,,,,,,,,,,Community engagement,,,,Strategic partnerships with other organizations,Digital Skills,,
R003,3,Active member (18 - 40 years),1 - 3 years,Very active,,Secondary School Debate,,,,,,,,,,Fulfilment for serving a cause,,,,Research and apply for grants and funding opportunities,,,
R003,4,Active member (18 - 40 years),1 - 3 years,Very active,,Quality Leadership Value (QLV),,,,,,,,,,New skills,,,,,,,
R003,5,Active member (18 - 40 years),1 - 3 years,Very active,,,,,,,,,,,,Personal growth,,,,,,,
R004,1,Active member (18 - 40 years),1 - 3 years,Very active,Individual Development,Save a Soul,Not yet Satisfied!! More work!!,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,Networking opportunities,MDS,,,,Business Clinic,Membership Engagement,Let's see
R004,2,Active member (18 - 40 years),1 - 3 years,Very active,Business and Entrepreneurship,Membership Development Summit (MDS),,,,,,,,,,Fulfilment for serving a cause,,,,,,,
R004,3,Active member (18 - 40 years),1 - 3 years,Very active,,Quality Leadership Value (QLV),,,,,,,,,,Personal growth,,,,,,,
R005,1,Active member (18 - 40 years),1 - 3 years,Somewhat active,Individual Development,Save a Soul,Satisfactory,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,Community engagement,MDS 5.0,,,International collaborations,Digital Skills,,
R005,2,Active member (18 - 40 years),1 - 3 years,Somewhat active,Business and Entrepreneurship,Membership Development Summit (MDS),,,,,,,,,,Fulfilment for serving a cause,,,,Strategic partnerships with other organizations,Business Clinic,,
R005,3,Active member (18 - 40 years),1 - 3 years,Somewhat active,International Opportunity,Educate a Child,,,,,,,,,,New skills,,,,Technology-enabled projects,,,
R005,4,Active member (18 - 40 years),1 - 3 years,Somewhat active,Community Development,,,,,,,,,,,Personal growth,,,,Focus on sustainable development,,,
R006,1,Alumni (Above 40),5 years and above,Very active,Individual Development,Save a Soul,Satisfied,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,Networking opportunities,Networking opportunities,,,International collaborations,International exchange programme,,Social media presence and projection for our activities to be more seeing
R006,2,Alumni (Above 40),5 years and above,Very active,Business and Entrepreneurship,Baba and Yara,,,,,,,,,,Community engagement,,,,Strategic partnerships with other organizations,Economic development,,
R006,3,Alumni (Above 40),5 years and above,Very active,International Opportunity,Secondary School Debate,,,,,,,,,,Fulfilment for serving a cause,,,,Research and apply for grants and funding opportunities,Healthcare and wellness,,
R006,4,Alumni (Above 40),5 years and above,Very active,Community Development,Educate a Child,,,,,,,,,,Personal growth,,,,Technology-enabled projects,Digital Skills,,
R006,5,Alumni (Above 40),5 years and above,Very active,,International Women's Day,,,,,,,,,,,,,,Focus on sustainable development,Cultural exchange,,
R006,6,Alumni (Above 40),5 years and above,Very active,,World Down Syndrome Day,,,,,,,,,,,,,,,Business Clinic,,
R007,1,Active member (18 - 40 years),1 - 3 years,Somewhat active,Business and Entrepreneurship,Save a Soul,Very satisfied,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Fulfilment for serving a cause,Baba & Yara,,,Focus on sustainable development,Cultural exchange,,I pray that the love will continue to grow among us 🙏🏿
R007,2,Active member (18 - 40 years),1 - 3 years,Somewhat active,,Baba and Yara,,,,,,,,,,New skills,,,,,Business Clinic,,
R007,3,Active member (18 - 40 years),1 - 3 years,Somewhat active,,Educate a Child,,,,,,,,,,Personal growth,,,,,,,
R007,4,Active member (18 - 40 years),1 - 3 years,Somewhat active,,International Women's Day,,,,,,,,,,,,,,,,,
R008,1,Active member (18 - 40 years),1 - 3 years,Somewhat active,Business and Entrepreneurship,Save a Soul,Very satisfied,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Networking opportunities,All,,,Technology-enabled projects,International exchange programme,,
R008,2,Active member (18 - 40 years),1 - 3 years,Somewhat active,International Opportunity,Membership Development Summit (MDS),,,,,,,,,,Fulfilment for serving a cause,,,,Focus on sustainable development,Economic development,,
R008,3,Active member (18 - 40 years),1 - 3 years,Somewhat active,,Baba and Yara,,,,,,,,,,Personal growth,,,,,Healthcare and wellness,,
R008,4,Active member (18 - 40 years),1 - 3 years,Somewhat active,,Quality Leadership Value (QLV),,,,,,,,,,,,,,,Digital Skills,,
R008,5,Active member (18 - 40 years),1 - 3 years,Somewhat active,,International Women's Day,,,,,,,,,,,,,,,,,
R009,1,Active member (18 - 40 years),3 - 5 years,Very active,Individual Development,Save a Soul,Satisfied,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,Networking opportunities,All projects,,,International collaborations,International exchange programme,Communication and commitment,
R009,2,Active member (18 - 40 years),3 - 5 years,Very active,Business and Entrepreneurship,Membership Development Summit (MDS),,,,,,,,,,Community engagement,,,,Strategic partnerships with other organizations,Healthcare and wellness,,
R009,3,Active member (18 - 40 years),3 - 5 years,Very active,International Opportunity,Baba and Yara,,,,,,,,,,Fulfilment for serving a cause,,,,Technology-enabled projects,Digital Skills,,
R009,4,Active member (18 - 40 years),3 - 5 years,Very active,Community Development,Secondary School Debate,,,,,,,,,,New skills,,,,,,,
R009,5,Active member (18 - 40 years),3 - 5 years,Very active,,Educate a Child,,,,,,,,,,Personal growth,,,,,,,
R009,6,Active member (18 - 40 years),3 - 5 years,Very active,,Quality Leadership Value (QLV),,,,,,,,,,,,,,,,,
R009,7,Active member (18 - 40 years),3 - 5 years,Very active,,International Women's Day,,,,,,,,,,,,,,,,,
R009,8,Active member (18 - 40 years),3 - 5 years,Very active,,World Down Syndrome Day,,,,,,,,,,,,,,,,,
R010,1,Active member (18 - 40 years),5 years and above,Very active,Individual Development,Save a Soul,,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,Community engagement,,,,International collaborations,International exchange programme,Active members follow up,
R010,2,Active member (18 - 40 years),5 years and above,Very active,Community Development,Membership Development Summit (MDS),,,,,,,,,,Fulfilment for serving a cause,,,,Strategic partnerships with other organizations,Economic development,,
R010,3,Active member (18 - 40 years),5 years and above,Very active,,Baba and Yara,,,,,,,,,,Personal growth,,,,Research and apply for grants and funding opportunities,Healthcare and wellness,,
R010,4,Active member (18 - 40 years),5 years and above,Very active,,Secondary School Debate,,,,,,,,,,,,,,,Cultural exchange,,
R010,5,Active member (18 - 40 years),5 years and above,Very active,,Quality Leadership Value (QLV),,,,,,,,,,,,,,,,,
R011,1,Active member (18 - 40 years),5 years and above,Somewhat active,Individual Development,Save a Soul,Very satisfied.,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Networking opportunities,All the projects ticked,,,International collaborations,International exchange programme,,
R011,2,Active member (18 - 40 years),5 years and above,Somewhat active,Business and Entrepreneurship,Baba and Yara,,,,,,,,,,Community engagement,,,,Research and apply for grants and funding opportunities,Digital Skills,,
R011,3,Active member (18 - 40 years),5 years and above,Somewhat active,Community Development,Educate a Child,,,,,,,,,,Fulfilment for serving a cause,,,,Technology-enabled projects,Business Clinic,,
R011,4,Active member (18 - 40 years),5 years and above,Somewhat active,,Quality Leadership Value (QLV),,,,,,,,,,New skills,,,,,,,
R011,5,Active member (18 - 40 years),5 years and above,Somewhat active,,International Women's Day,,,,,,,,,,Personal growth,,,,,,,
R012,1,Active member (18 - 40 years),1 - 3 years,Somewhat active,Community Development,Save a Soul,Very satisfied,5.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,Community engagement,Save a soul and Secondary school Debate,,,International collaborations,Healthcare and wellness,,
R012,2,Active member (18 - 40 years),1 - 3 years,Somewhat active,,Baba and Yara,,,,,,,,,,Personal growth,,,,Strategic partnerships with other organizations,,,
R012,3,Active member (18 - 40 years),1 - 3 years,Somewhat active,,Secondary School Debate,,,,,,,,,,,,,,Research and apply for grants and funding opportunities,,,
R012,4,Active member (18 - 40 years),1 - 3 years,Somewhat active,,International Women's Day,,,,,,,,,,,,,,,,,
R013,1,Active member (18 - 40 years),1 - 3 years,Somewhat active,Individual Development,Membership Development Summit (MDS),,3.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,Networking opportunities,MDS and QLV,,,International collaborations,Business Clinic,,
R013,2,Active member (18 - 40 years),1 - 3 years,Somewhat active,Community Development,Secondary School Debate,,,,,,,,,,Community engagement,,,,Strategic partnerships with other organizations,,,
R013,3,Active member (18 - 40 years),1 - 3 years,Somewhat active,,Quality Leadership Value (QLV),,,,,,,,,,Fulfilment for serving a cause,,,,Research and apply for grants and funding opportunities,,,
R013,4,Active member (18 - 40 years),1 - 3 years,Somewhat active,,International Women's Day,,,,,,,,,,New skills,,,,Technology-enabled projects,,,
R013,5,Active member (18 - 40 years),1 - 3 years,Somewhat active,,,,,,,,,,,,Personal growth,,,,Focus on sustainable development,,,
R014,1,Active member (18 - 40 years),5 years and above,Very active,International Opportunity,Save a Soul,Always satisfying as they are very impactful,5.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,Networking opportunities,Save A Soul,,None of the above,International collaborations,International exchange programme,International Area,All the best
R014,2,Active member (18 - 40 years),5 years and above,Very active,,Membership Development Summit (MDS),,,,,,,,,,Personal growth,,,,Strategic partnerships with other organizations,Cultural exchange,,
R014,3,Active member (18 - 40 years),5 years and above,Very active,,Baba and Yara,,,,,,,,,,,,,,Research and apply for grants and funding opportunities,Business Clinic,,
R014,4,Active member (18 - 40 years),5 years and above,Very active,,Secondary School Debate,,,,,,,,,,,,,,Technology-enabled projects,,,
R014,5,Active member (18 - 40 years),5 years and above,Very active,,Educate a Child,,,,,,,,,,,,,,Focus on sustainable development,,,
